run_id,experiment,arm,seed,size,status,duration_s,note,git_sha,final_val_loss,final_val_ppl,loss_at_step0,tokens_seen,steps,wall_seconds,tokens_per_sec,learned_alpha,n_params,n_params_non_embedding,device,history
0967b01c5755,factorial,random,42,S,smoke,1.516566514968872,"smoke: tiny model and synthetic data, NOT reportable",HEAD,6.199592173099518,492.54812575123697,6.250709414482117,16384,16,1.5029804706573486,10901.00657983549,"{""layer_0"":[-0.00025053793797269464,-0.0007457124884240329,-0.0008756763418205082,0.0020068527664989233],""layer_1"":[0.00032153428765013814,0.0018688807031139731,-0.002388624008744955,-0.0007892618305049837]}",131400,98304,cpu,[]
12982f081bd2,factorial,diagmask,2024,S,smoke,2.3555116653442383,"smoke: tiny model and synthetic data, NOT reportable",HEAD,6.190833687782288,488.2529871350877,6.257553219795227,16384,16,2.3420634269714355,6995.540689171875,"{""layer_0"":[0.003643304342404008,-0.002626219764351845,-0.002332101808860898,-0.0007153910119086504],""layer_1"":[0.0017157162073999643,-0.0013313648523762822,-0.0018577526789158583,-0.0008271861006505787]}",131400,98304,cpu,[]
13b3252937e9,factorial,baseline,42,S,smoke,5.192547082901001,"smoke: tiny model and synthetic data, NOT reportable",HEAD,6.199592053890228,492.5480670349283,6.250709414482117,16384,16,1.5449507236480713,10604.868976864636,"{""layer_0"":[],""layer_1"":[]}",131392,98304,cpu,[]
18e9e35ed086,factorial,diagmask,1337,S,smoke,1.8553905487060547,"smoke: tiny model and synthetic data, NOT reportable",HEAD,6.19782030582428,491.67616857006266,6.254753589630127,16384,16,1.8488783836364746,8861.588812442633,"{""layer_0"":[-0.002008072566241026,-0.0036242573987692595,0.00020716007566079497,0.00031269423197954893],""layer_1"":[0.0037848525680601597,-0.0013963818782940507,0.0006632762961089611,-0.0028138987254351377]}",131400,98304,cpu,[]
2cda74328dfe,factorial,diagmask,42,S,smoke,1.836773157119751,"smoke: tiny model and synthetic data, NOT reportable",HEAD,6.199615240097046,492.5594874886762,6.250709295272827,16384,16,1.8252589702606201,8976.260501632054,"{""layer_0"":[-0.00032856978941708803,0.0005724546499550343,-0.0012960594613105059,-0.002004278125241399],""layer_1"":[-0.002525713760405779,0.0035135550424456596,-0.004836040548980236,0.0014064644929021597]}",131400,98304,cpu,[]
63932cb0adac,factorial,meanval,1337,S,smoke,1.525113582611084,"smoke: tiny model and synthetic data, NOT reportable",HEAD,6.197817802429199,491.6749377119017,6.254753589630127,16384,16,1.509092092514038,10856.858955973617,"{""layer_0"":[0.004341816995292902,0.0019965425599366426,4.84017982671503e-05,0.0003817397227976471],""layer_1"":[-0.0018292046152055264,0.0030835976358503103,-0.0006317071383818984,-0.002405151491984725]}",131400,98304,cpu,[]
698329460dcc,factorial,random,2024,S,smoke,1.7569012641906738,"smoke: tiny model and synthetic data, NOT reportable",HEAD,6.190824091434479,488.24830171208595,6.257553219795227,16384,16,1.741999626159668,9405.283304290604,"{""layer_0"":[0.0012765919091179967,-0.0006169684929773211,-0.0007647696183994412,0.0007581002428196371],""layer_1"":[-9.34244817472063e-05,0.001998800551518798,0.00031296961242333055,0.001983827445656061]}",131400,98304,cpu,[]
71b3e6d09585,factorial,xsa,42,S,smoke,1.5211541652679443,"smoke: tiny model and synthetic data, NOT reportable",HEAD,6.199593007564545,492.54853676559344,6.250709414482117,16384,16,1.5083222389221191,10862.400339405174,"{""layer_0"":[-0.0013089830754324794,0.0009982342598959804,-0.000435135152656585,-0.0009387885220348835],""layer_1"":[-0.0028640234377235174,0.002368353772908449,-0.002904563443735242,-0.00047862253268249333]}",131400,98304,cpu,[]
9086e6be5611,factorial,xsa,2024,S,smoke,1.9220640659332275,"smoke: tiny model and synthetic data, NOT reportable",HEAD,6.190824568271637,488.2485345270741,6.257553219795227,16384,16,1.9147884845733643,8556.558665355946,"{""layer_0"":[0.0043839262798428535,-0.0007635142537765205,-6.526370270876214e-07,0.00035381194902583957],""layer_1"":[0.0015429238555952907,4.238553447066806e-05,-0.001298589981161058,0.0007626290316693485]}",131400,98304,cpu,[]
bfc7fa562e77,factorial,baseline,2024,S,smoke,1.4180974960327148,"smoke: tiny model and synthetic data, NOT reportable",HEAD,6.190824329853058,488.24841811956617,6.257553219795227,16384,16,1.3939213752746582,11753.891066324812,"{""layer_0"":[],""layer_1"":[]}",131392,98304,cpu,[]
