model,block_size,n_documents,cos_self,cos_null,excess,n_heads,self_specific_fraction
gpt2,64,24,0.48998345657687126,0.3746532575319573,0.11533019904491398,144,0.2353756999279839
gpt2,128,24,0.4846010840103848,0.33605467504921793,0.1485464089611669,144,0.30653338150185316
gpt2,256,24,0.4811783614768504,0.3095847554314844,0.171593606045366,144,0.3566112273185032
gpt2,512,20,0.4772233544703718,0.29038031874261155,0.18684303572776023,144,0.3915211482789246
gpt2,1024,8,0.47431279170003177,0.27884299898336357,0.1954697927166682,144,0.4121115772907271
