model,statistic,rho_raw,pearson_raw,r_delta,r_stat,ceiling,rho_disattenuated,n,verdict,resolvable
gpt2,cos_self,0.4689373844546259,0.4097062147475257,0.7989671248291937,0.9964753637167431,0.8922729718600084,0.525553725422268,144,reliable,True
gpt2,excess,0.2356362028775822,0.42259646726477906,0.7989671248291937,0.9964753637167431,0.8922729718600084,0.2640853307327927,144,reliable,True
EleutherAI/pythia-160m,cos_self,0.013716743027087855,0.0018671275204597258,0.4731211317418214,0.9946587894863758,0.6859986094583168,0.01999529275710773,144,attenuated,False
EleutherAI/pythia-160m,excess,0.48683385579937305,0.4457561159927439,0.4731211317418214,0.9946587894863758,0.6859986094583168,0.7096717822559295,144,attenuated,False
EleutherAI/pythia-410m,cos_self,0.09871730457582965,0.10445077821450408,0.43532004717755174,0.991514572242379,0.6569826256194166,0.15025862287112535,384,attenuated,False
EleutherAI/pythia-410m,excess,0.2156757684376046,0.15836568179550975,0.43532004717755174,0.991514572242379,0.6569826256194166,0.32828230158181293,384,attenuated,False
