model,layer,head,delta_half_a,delta_half_b,delta_pooled,cos_self_half_a,cos_self,cos_self_half_b,cos_null_half_a,cos_null,cos_null_half_b,excess_half_a,excess,excess_half_b
EleutherAI/pythia-1.4b,0,0,-0.0016003706323819422,0.0025911105899361075,0.0004953699787770827,0.1807367878713423,0.1807367878713423,0.1842591930204904,0.1963554324972668,0.1963554324972668,0.19177411100539718,-0.015618644625924494,-0.015618644625924494,-0.007514917984906777
EleutherAI/pythia-1.4b,0,1,-0.0038778950848916693,-0.0012526624784694462,-0.002565278781680558,0.39580475992730985,0.39580475992730985,0.4074133136479229,0.13235716178452797,0.13235716178452797,0.13369260514893969,0.26344759814278185,0.26344759814278185,0.2737207084989832
EleutherAI/pythia-1.4b,0,2,-0.08782790777251481,-0.100397785817544,-0.0941128467950294,0.5032585912427734,0.5032585912427734,0.500012181656895,0.38335171946135693,0.38335171946135693,0.37689912716419127,0.11990687178141646,0.11990687178141646,0.12311305449270371
EleutherAI/pythia-1.4b,0,3,-0.010172205647145383,-0.006338284710260655,-0.008255245178703019,0.7069446378742485,0.7069446378742485,0.7357954405040542,0.12180969179635803,0.12180969179635803,0.12647244468348842,0.5851349460778905,0.5851349460778905,0.6093229958205658
EleutherAI/pythia-1.4b,0,4,0.003882701002706934,0.0006062665323574024,0.0022444837675321683,0.38392283994825066,0.38392283994825066,0.39496740820998,0.16001869409948663,0.16001869409948663,0.16267963428526497,0.22390414584876403,0.22390414584876403,0.23228777392471503
EleutherAI/pythia-1.4b,0,5,0.0028479868971458266,0.0027448999600148127,0.0027964434285803197,0.4810410239432978,0.4810410239432978,0.48890470835309446,0.39848014605773124,0.39848014605773124,0.3979834427458641,0.08256087788556654,0.08256087788556654,0.09092126560723035
EleutherAI/pythia-1.4b,0,6,-0.04808585099347917,-0.054815577709768526,-0.05145071435162385,0.3757995833657619,0.3757995833657619,0.36728118316203495,0.11699788303565666,0.11699788303565666,0.12777952975619028,0.25880170033010524,0.25880170033010524,0.23950165340584467
EleutherAI/pythia-1.4b,0,7,-0.00874556894377454,-0.004719891886072691,-0.006732730414923616,0.3057950490079089,0.3057950490079089,0.3015030014069929,0.18345711619658528,0.18345711619658528,0.18817407991415608,0.1223379328113236,0.1223379328113236,0.1133289214928368
EleutherAI/pythia-1.4b,0,8,0.0037519800381398127,0.0035304272268703585,0.0036412036325050856,0.4682346581971185,0.4682346581971185,0.4632280696046181,0.12244065027801314,0.12244065027801314,0.11630511702661463,0.34579400791910536,0.34579400791910536,0.3469229525780035
EleutherAI/pythia-1.4b,0,9,-0.010956531434547223,-0.004550963874876857,-0.00775374765471204,0.4535877192810207,0.4535877192810207,0.44899191003809,0.2087668200782006,0.2087668200782006,0.21028997042852296,0.2448208992028201,0.2448208992028201,0.23870193960956707
EleutherAI/pythia-1.4b,0,10,0.0020230511042078625,0.0017113873339074104,0.0018672192190576364,0.40908589371264137,0.40908589371264137,0.4226317103430504,0.14023490205760092,0.14023490205760092,0.14642246524948946,0.26885099165504045,0.26885099165504045,0.27620924509356093
EleutherAI/pythia-1.4b,0,11,-0.0005968949926180578,-0.0027122197188731434,-0.0016545573557456006,0.45493717722224464,0.45493717722224464,0.4711349045938888,0.13996223612958408,0.13996223612958408,0.145264898816005,0.31497494109266055,0.31497494109266055,0.32587000577788383
EleutherAI/pythia-1.4b,0,12,0.0018913689560777769,0.002271757351131942,0.0020815631536048596,0.4222401893468214,0.4222401893468214,0.43201550836885877,0.12469674760194091,0.12469674760194091,0.12089291349160718,0.29754344174488045,0.29754344174488045,0.3111225948772516
EleutherAI/pythia-1.4b,0,13,0.0005925696665847191,0.0018084668737698983,0.0012005182701773087,0.3681401259794965,0.3681401259794965,0.37885632679184866,0.20377155955239815,0.20377155955239815,0.2105369076376791,0.16436856642709838,0.16436856642709838,0.16831941915416956
EleutherAI/pythia-1.4b,0,14,-0.004025677057701849,-0.002177801657849532,-0.00310173935777569,0.4759299755402083,0.4759299755402083,0.49761858004157555,0.11688327383559234,0.11688327383559234,0.11940253203976621,0.359046701704616,0.359046701704616,0.37821604800180936
EleutherAI/pythia-1.4b,0,15,0.0020552507535680498,-0.000842477392962504,0.0006063866803027729,0.44527886521338916,0.44527886521338916,0.45386974961512017,0.26243687695328327,0.26243687695328327,0.26557251514900526,0.1828419882601059,0.1828419882601059,0.1882972344661149
EleutherAI/pythia-1.4b,1,0,0.00191563884104351,0.0012500192236712948,0.0015828290323574024,0.32693454635413877,0.32693454635413877,0.33544969182244005,0.1508242327219873,0.1508242327219873,0.15933545048075998,0.17611031363215146,0.17611031363215146,0.17611424134168008
EleutherAI/pythia-1.4b,1,1,0.007234348086860187,0.005968709630290281,0.006601528858575234,0.3587265462969543,0.3587265462969543,0.33803466614357797,0.13652629492257282,0.13652629492257282,0.14094769463599016,0.22220025137438146,0.22220025137438146,0.1970869715075878
EleutherAI/pythia-1.4b,1,2,0.004572350209153697,0.003180556409941193,0.003876453309547445,0.342653693138091,0.342653693138091,0.31952259026279284,0.25124292386206215,0.25124292386206215,0.22394428422158158,0.09141076927602887,0.09141076927602887,0.09557830604121126
EleutherAI/pythia-1.4b,1,3,0.005781038539616201,0.004717008335383799,0.0052490234375,0.3613733853589393,0.3613733853589393,0.35064763803843274,0.1283211406992801,0.1283211406992801,0.13479780015727216,0.2330522446596592,0.2330522446596592,0.21584983788116058
EleutherAI/pythia-1.4b,1,4,-9.443628506389246e-05,0.0011769692728837988,0.0005412664939099532,0.3753503263434735,0.3753503263434735,0.39308809459794786,0.15456563973031406,0.15456563973031406,0.1595476421189107,0.22078468661315942,0.22078468661315942,0.23354045247903715
EleutherAI/pythia-1.4b,1,5,0.004247470164862488,0.008141465074434251,0.0061944676196483694,0.34901278399607105,0.34901278399607105,0.333364648304469,0.09100387733110812,0.09100387733110812,0.09110330091244026,0.2580089066649629,0.2580089066649629,0.24226134739202873
EleutherAI/pythia-1.4b,1,6,0.0022114430825541653,-0.0015273206815944462,0.00034206120047985955,0.30004608482812906,0.30004608482812906,0.29948281528640014,0.1868980504624281,0.1868980504624281,0.1871097478558552,0.11314803436570095,0.11314803436570095,0.11237306743054493
EleutherAI/pythia-1.4b,1,7,0.013311911755659711,0.012785904050812036,0.013048907903235873,0.3327133167969275,0.3327133167969275,0.3342216571351844,0.25012481166587164,0.25012481166587164,0.2455431502308662,0.08258850513105587,0.08258850513105587,0.08867850690431822
EleutherAI/pythia-1.4b,1,8,0.0054833119309796174,-0.00014153427965046816,0.0026708888256645746,0.405168226603915,0.405168226603915,0.38755590079763064,0.15792594933191856,0.15792594933191856,0.16613594205028412,0.24724227727199644,0.24724227727199644,0.22141995874734652
EleutherAI/pythia-1.4b,1,9,0.00421743317851897,0.003900723194512956,0.004059078186515963,0.31237171410847675,0.31237171410847675,0.3318282072838318,0.16663670352077214,0.16663670352077214,0.16704071125036982,0.1457350105877046,0.1457350105877046,0.16478749603346196
EleutherAI/pythia-1.4b,1,10,0.004975086122047223,0.004268856499138884,0.004621971310593054,0.4160466639288507,0.4160466639288507,0.41323742906869604,0.12025886610513135,0.12025886610513135,0.11399445513547954,0.29578779782371933,0.29578779782371933,0.2992429739332165
EleutherAI/pythia-1.4b,1,11,0.02402790700356805,0.022797592042937964,0.023412749523253007,0.18022467491858638,0.18022467491858638,0.18028667022722975,0.11212838594328997,0.11212838594328997,0.10901636038949743,0.0680962889752964,0.0680962889752964,0.07127030983773232
EleutherAI/pythia-1.4b,1,12,0.003594826525590733,0.00027489849901574104,0.001934862512303237,0.5023698510270287,0.5023698510270287,0.5115546217383472,0.2490494105528157,0.2490494105528157,0.2566418188351873,0.253320440474213,0.253320440474213,0.25491280290315993
EleutherAI/pythia-1.4b,1,13,0.0025291142501231434,0.004435862143208791,0.003482488196665967,0.20656381556941633,0.20656381556941633,0.1902090264827746,0.14238255059323487,0.14238255059323487,0.14101689052308605,0.06418126497618146,0.06418126497618146,0.04919213595968855
EleutherAI/pythia-1.4b,1,14,0.002929447204109259,0.0030784306563731434,0.003003938930241201,0.35251561879438553,0.35251561879438553,0.3402311471885209,0.1869450482900297,0.1869450482900297,0.19620937980068884,0.16557057050435584,0.16557057050435584,0.14402176738783204
EleutherAI/pythia-1.4b,1,15,0.005059910571481474,0.005157951294906482,0.005108930933193978,0.265240985463796,0.265240985463796,0.246294601156104,0.11027500625769314,0.11027500625769314,0.10989535838102818,0.15496597920610283,0.15496597920610283,0.1363992427750758
EleutherAI/pythia-1.4b,2,0,0.007964847594734259,0.010296438622662496,0.009130643108698377,0.5525292085613464,0.5525292085613464,0.5578455492489977,0.16327564453468216,0.16327564453468216,0.15443424171663706,0.3892535640266642,0.3892535640266642,0.4034113075323606
EleutherAI/pythia-1.4b,2,1,0.0029205562561518406,0.004667267085999072,0.003793911671075456,0.4396280994346387,0.4396280994346387,0.45164043402025605,0.19748477225434763,0.19748477225434763,0.1928631854216435,0.24214332718029108,0.24214332718029108,0.25877724859861256
EleutherAI/pythia-1.4b,2,2,0.0024245855376476833,7.713498093009363e-05,0.0012508602592888884,0.3335082567045472,0.3335082567045472,0.3277782887136251,0.20530117041967488,0.20530117041967488,0.20980919363926984,0.12820708628487232,0.12820708628487232,0.11796909507435524
EleutherAI/pythia-1.4b,2,3,0.002458707554133799,0.003905288816437036,0.0031819981852854173,0.4825767697242856,0.4825767697242856,0.4957001030099301,0.17513343566392403,0.17513343566392403,0.17076876701994084,0.30744333406036156,0.30744333406036156,0.32493133598998925
EleutherAI/pythia-1.4b,2,4,0.0048119252122296174,0.003527543676181022,0.00416973444420532,0.2171229310309953,0.2171229310309953,0.2272765281153997,0.22005841308926993,0.22005841308926993,0.23115652589491742,-0.0029354820582746244,-0.0029354820582746244,-0.0038799977795177243
EleutherAI/pythia-1.4b,2,5,0.000573826587106474,0.0030983752153050936,0.0018361009012057838,0.48870473991065216,0.48870473991065216,0.4900682781763767,0.19779483343954798,0.19779483343954798,0.19788595204731182,0.29090990647110415,0.29090990647110415,0.2921823261290649
