arm,layer,tanh_alpha
xsa,0,0.6244469881057739
xsa,0,0.6387465000152588
xsa,0,0.23883089423179626
xsa,0,0.6573514342308044
xsa,0,0.4229732155799866
xsa,0,0.1877714842557907
xsa,0,0.4792598485946655
xsa,0,0.5664094686508179
xsa,0,0.16814923286437988
xsa,0,0.6577212810516357
xsa,0,0.5085121393203735
xsa,0,0.38746240735054016
xsa,0,0.38680922985076904
xsa,0,0.516659140586853
xsa,0,0.6542572975158691
xsa,0,0.2722238600254059
xsa,0,0.6570302844047546
xsa,0,0.6311084032058716
xsa,0,0.2277485877275467
xsa,0,0.34316542744636536
xsa,0,0.5895782709121704
xsa,0,0.6411053538322449
xsa,0,0.36327478289604187
xsa,0,0.4372876286506653
xsa,0,0.4263465106487274
xsa,0,0.2807735204696655
xsa,0,0.19317211210727692
xsa,0,0.27163052558898926
xsa,0,0.6163824796676636
xsa,0,0.5716680288314819
xsa,0,0.6608416438102722
xsa,0,0.6240413188934326
xsa,0,0.45987555384635925
xsa,0,0.6437596082687378
xsa,0,0.38559773564338684
xsa,0,0.6968597173690796
xsa,0,0.6413155794143677
xsa,0,0.3477422297000885
xsa,0,0.3307558596134186
xsa,0,0.21518969535827637
xsa,0,0.4310980439186096
xsa,0,0.43494993448257446
xsa,0,0.4303399920463562
xsa,0,0.6122134923934937
xsa,0,0.2843087911605835
xsa,0,0.6258555054664612
xsa,0,0.2889082431793213
xsa,0,0.4590878188610077
xsa,0,0.6046521663665771
xsa,0,0.42945969104766846
xsa,0,0.39494267106056213
xsa,0,0.5484042167663574
xsa,0,0.26588425040245056
xsa,0,0.22717589139938354
xsa,0,0.6421338319778442
xsa,0,0.5876142978668213
xsa,0,0.5222596526145935
xsa,0,0.36680254340171814
xsa,0,0.4646506905555725
xsa,0,0.5325781106948853
xsa,0,0.28469717502593994
xsa,0,0.5576006174087524
xsa,0,0.6407408118247986
xsa,0,0.6575853824615479
xsa,1,0.43855470418930054
xsa,1,0.1870214343070984
xsa,1,0.16374054551124573
xsa,1,0.44617336988449097
xsa,1,0.24291856586933136
xsa,1,0.16622519493103027
xsa,1,0.3683776259422302
xsa,1,0.4069395959377289
xsa,1,0.36592167615890503
xsa,1,0.3415391445159912
xsa,1,0.15574996173381805
xsa,1,0.2580617070198059
xsa,1,0.3254378139972687
xsa,1,-0.009738913737237453
xsa,1,0.31883805990219116
xsa,1,0.06879889965057373
xsa,1,0.37788647413253784
xsa,1,0.22083400189876556
xsa,1,0.13951413333415985
xsa,1,-0.005061730742454529
xsa,1,0.2046131193637848
xsa,1,0.021746927872300148
xsa,1,0.3388535976409912
xsa,1,0.41723066568374634
xsa,1,0.29819026589393616
xsa,1,0.21276283264160156
xsa,1,0.149443119764328
xsa,1,0.11633171141147614
xsa,1,0.44984158873558044
xsa,1,0.15305551886558533
xsa,1,0.14079459011554718
xsa,1,0.41624611616134644
xsa,1,0.17447097599506378
xsa,1,0.3989737927913666
xsa,1,0.3471508026123047
xsa,1,0.43084844946861267
xsa,1,0.32305479049682617
xsa,1,0.10977364331483841
xsa,1,0.3704304099082947
xsa,1,0.3377688527107239
xsa,1,0.09120670706033707
xsa,1,0.18659226596355438
xsa,1,0.19512704014778137
xsa,1,0.22949884831905365
xsa,1,0.3838348686695099
xsa,1,0.36928224563598633
xsa,1,0.3436242938041687
xsa,1,0.37273305654525757
xsa,1,0.3157954514026642
xsa,1,0.32498130202293396
xsa,1,0.17216219007968903
xsa,1,0.19306525588035583
xsa,1,0.38264983892440796
xsa,1,0.40880313515663147
xsa,1,0.17702046036720276
xsa,1,0.3459056317806244
xsa,1,0.23013053834438324
xsa,1,0.26158928871154785
xsa,1,0.24535299837589264
xsa,1,0.2767598032951355
xsa,1,0.11036069691181183
xsa,1,0.16800683736801147
xsa,1,0.4311802089214325
xsa,1,0.1159624308347702
xsa,2,-0.07529076933860779
xsa,2,0.20840872824192047
xsa,2,0.28213804960250854
xsa,2,0.23077072203159332
xsa,2,0.25440168380737305
xsa,2,0.19463802874088287
xsa,2,0.34847739338874817
xsa,2,-0.0119877178221941
xsa,2,0.27998483180999756
xsa,2,-0.08325757086277008
xsa,2,0.03127970173954964
xsa,2,0.31469157338142395
xsa,2,0.2425948530435562
xsa,2,0.1417027711868286
