size,arm,vs,endpoint,n_seeds,mean_delta,ci_low,ci_high,t,p,wilcoxon_p,cohen_dz,sd_paired,sd_unpaired_treatment,sd_unpaired_control,seeds,p_holm
S,random,baseline,PRIMARY (pre-registered),8,0.0010564744350363142,-0.00029788990734047616,0.0023903968881388016,1.4260682230445534,0.1968845256913458,0.25,0.5041912554747268,0.0020953842883323693,0.003835061535726583,0.002730444585701658,"7,42,99,512,1337,2024,8191,31337",nan
S,xsa,baseline,secondary,8,-0.002923833420042099,-0.003966764104170795,-0.0017092869189552413,-4.665443256029428,0.002299759318182331,0.015625,-1.649483281789727,0.001772575358793375,0.002834198140050987,0.002730444585701658,"7,42,99,512,1337,2024,8191,31337",0.002299759318182331
