model,params,cos_self,cos_null,excess,n_heads,self_specific_fraction
gpt2,124000000.0,0.4827729474787596,0.29873703183089056,0.18403591564786903,144,0.3812059408236954
EleutherAI/pythia-160m,160000000.0,0.4180406261052422,0.2636665664755991,0.15437405962964307,144,0.3692800411957551
gpt2-medium,355000000.0,0.4252437001793372,0.25785655359086096,0.16738714658847625,384,0.39362639944550476
EleutherAI/pythia-410m,410000000.0,0.402240512959492,0.1936774358260062,0.2085630771334858,384,0.5185034088162307
gpt2-large,774000000.0,0.4212987596398185,0.21172248167801272,0.20957627796180578,720,0.497452872021221
EleutherAI/pythia-1.4b,1400000000.0,0.386224627781262,0.18996648880460257,0.19625813897665942,384,0.5081450660049831
gpt2-xl,1500000000.0,0.38609128381245067,0.20689288739939574,0.17919839641305493,1200,0.46413478865299407
EleutherAI/pythia-2.8b,2800000000.0,0.3564546079399308,0.18592515047463334,0.17052945746529743,1024,0.47840441297937947
EleutherAI/pythia-6.9b,6900000000.0,0.3403824261889107,0.19788068623845245,0.14250173995045823,1024,0.41865187208980764
