arm,layer,tanh_alpha
xsa,0,0.058323632925748825
xsa,0,0.09779886901378632
xsa,0,0.06694307923316956
xsa,0,0.100152887403965
xsa,0,0.09630116075277328
xsa,0,0.05465494841337204
xsa,0,0.051076143980026245
xsa,0,0.02741919457912445
xsa,0,0.045918058604002
xsa,0,0.10034595429897308
xsa,0,0.06453768908977509
xsa,0,0.06755354255437851
xsa,0,0.04569240286946297
xsa,0,0.10080261528491974
xsa,0,0.09652528911828995
xsa,0,0.0686567947268486
xsa,0,0.09522378444671631
xsa,0,0.02960970439016819
xsa,0,0.041849032044410706
xsa,0,0.03628578782081604
xsa,0,0.057618893682956696
xsa,0,0.0984814390540123
xsa,0,0.07601074874401093
xsa,0,0.08799947053194046
xsa,0,0.10005266219377518
xsa,0,0.09123362600803375
xsa,0,0.05411699414253235
xsa,0,0.044745154678821564
xsa,0,0.07922998815774918
xsa,0,0.10444294661283493
xsa,0,0.043125879019498825
xsa,0,0.046242278069257736
xsa,0,0.03681100159883499
xsa,0,0.0826464593410492
xsa,0,0.052300646901130676
xsa,0,0.04607594758272171
xsa,0,0.03917365148663521
xsa,0,0.1072462946176529
xsa,0,0.049441903829574585
xsa,0,0.07892559468746185
xsa,0,0.08786043524742126
xsa,0,0.058969005942344666
xsa,0,0.09519383311271667
xsa,0,0.08241002261638641
xsa,0,0.030255373567342758
xsa,0,0.04829889163374901
xsa,0,0.09053429961204529
xsa,0,0.08295175433158875
xsa,0,0.030626792460680008
xsa,0,0.08483090251684189
xsa,0,0.07438775897026062
xsa,0,0.0833100900053978
xsa,0,0.04406280443072319
xsa,0,0.07181217521429062
xsa,0,0.10646862536668777
xsa,0,0.08108925819396973
xsa,0,0.06361746788024902
xsa,0,0.09359296411275864
xsa,0,0.06623424589633942
xsa,0,0.09014459699392319
xsa,0,0.08484264463186264
xsa,0,0.035153359174728394
xsa,0,0.09202860295772552
xsa,0,0.07452275604009628
xsa,1,0.058375097811222076
xsa,1,0.05396152660250664
xsa,1,0.07715513557195663
xsa,1,0.07979664951562881
xsa,1,0.03792204335331917
xsa,1,0.04011803865432739
xsa,1,0.052698004990816116
xsa,1,0.04663626849651337
xsa,1,0.059312280267477036
xsa,1,0.07376154512166977
xsa,1,0.06039213761687279
xsa,1,0.06379347294569016
xsa,1,0.08250366896390915
xsa,1,0.07767098397016525
xsa,1,0.06971241533756256
xsa,1,0.07246273010969162
xsa,1,0.06085667014122009
xsa,1,0.0539730079472065
xsa,1,0.05112049728631973
xsa,1,0.06601337343454361
xsa,1,0.07639220356941223
xsa,1,0.057529594749212265
xsa,1,0.055537618696689606
xsa,1,0.06539147347211838
xsa,1,0.0791807696223259
xsa,1,0.05437085032463074
xsa,1,0.0625588446855545
xsa,1,0.027068136259913445
xsa,1,0.060933917760849
xsa,1,0.060608815401792526
xsa,1,0.046949975192546844
xsa,1,0.06313645094633102
xsa,1,0.057596947997808456
xsa,1,0.04799257963895798
xsa,1,0.06967761367559433
xsa,1,0.07331323623657227
xsa,1,0.0518757700920105
xsa,1,0.08192481100559235
xsa,1,0.07327969372272491
xsa,1,0.06957603991031647
xsa,1,0.05098816007375717
xsa,1,0.07066808640956879
xsa,1,0.08323320001363754
xsa,1,0.06409920006990433
xsa,1,0.06425807625055313
xsa,1,0.05801668390631676
xsa,1,0.06169700622558594
xsa,1,0.07074370235204697
xsa,1,0.0389876589179039
xsa,1,0.07244712114334106
xsa,1,0.06336711347103119
xsa,1,0.06606054306030273
xsa,1,0.07831644266843796
xsa,1,0.08353998512029648
xsa,1,0.058272168040275574
xsa,1,0.053891949355602264
xsa,1,0.06259603053331375
xsa,1,0.06216314435005188
xsa,1,0.07832667231559753
xsa,1,0.06560961902141571
xsa,1,0.057316508144140244
xsa,1,0.07139643281698227
xsa,1,0.07772399485111237
xsa,1,0.07766955345869064
xsa,2,0.07101122289896011
xsa,2,0.052225951105356216
xsa,2,0.051960766315460205
xsa,2,0.05143646150827408
xsa,2,0.05775686353445053
xsa,2,0.06075224280357361
xsa,2,0.062395695596933365
xsa,2,0.0515667200088501
xsa,2,0.06280001997947693
xsa,2,0.021871352568268776
xsa,2,0.040259066969156265
xsa,2,0.03521093726158142
xsa,2,0.01349673606455326
xsa,2,0.04938359558582306
xsa,2,0.050251711159944534
xsa,2,0.05642332136631012
xsa,2,0.043926890939474106
xsa,2,0.06204742565751076
xsa,2,0.026200199499726295
xsa,2,0.05770934745669365
xsa,2,0.047329504042863846
xsa,2,0.06348896026611328
xsa,2,0.05979485064744949
xsa,2,0.05348850414156914
xsa,2,0.04928002506494522
xsa,2,0.0652950182557106
xsa,2,0.03717684745788574
xsa,2,0.027285831049084663
xsa,2,0.04322277009487152
xsa,2,0.03929932042956352
xsa,2,0.057128094136714935
xsa,2,0.0321737639605999
xsa,2,0.04990319907665253
xsa,2,0.044232625514268875
xsa,2,0.06545724719762802
xsa,2,0.06378617137670517
xsa,2,0.061097048223018646
xsa,2,0.06133214756846428
xsa,2,0.06359846889972687
xsa,2,0.0478166900575161
xsa,2,0.059624042361974716
xsa,2,0.05073465779423714
xsa,2,0.043950580060482025
xsa,2,0.03775681555271149
xsa,2,0.037274327129125595
xsa,2,0.04189804941415787
xsa,2,0.07449705898761749
xsa,2,0.037596218287944794
xsa,2,0.023777971044182777
xsa,2,0.023137526586651802
xsa,2,0.049353525042533875
xsa,2,0.04806319996714592
xsa,2,0.02629200927913189
xsa,2,0.054221104830503464
xsa,2,0.029788341373205185
xsa,2,0.07196330279111862
xsa,2,0.05871282517910004
xsa,2,0.004541099537163973
xsa,2,0.05111274868249893
xsa,2,0.029351770877838135
xsa,2,0.014786256477236748
xsa,2,0.06509074568748474
xsa,2,0.06396180391311646
xsa,2,0.04514480382204056
xsa,3,0.06034793704748154
xsa,3,0.06497286260128021
xsa,3,0.042305056005716324
xsa,3,0.06005178764462471
xsa,3,0.058712832629680634
xsa,3,0.04398898035287857
xsa,3,0.061568260192871094
xsa,3,0.046569544821977615
xsa,3,0.009202848188579082
xsa,3,0.02716892585158348
xsa,3,0.04021812602877617
xsa,3,0.05339101701974869
xsa,3,0.059403449296951294
xsa,3,0.049724072217941284
xsa,3,0.03349475562572479
xsa,3,0.06134018301963806
xsa,3,0.02042696438729763
xsa,3,0.050549764186143875
xsa,3,0.024996625259518623
xsa,3,0.050602927803993225
xsa,3,0.06615033000707626
xsa,3,0.06531892716884613
xsa,3,0.027277229353785515
xsa,3,0.05045607313513756
xsa,3,0.041831664741039276
xsa,3,0.044865820556879044
xsa,3,0.027622850611805916
xsa,3,0.04037151485681534
xsa,3,0.03564180061221123
xsa,3,0.03344929218292236
xsa,3,0.05465038865804672
xsa,3,0.029101187363266945
xsa,3,0.05294619873166084
xsa,3,0.05547834187746048
xsa,3,0.023280687630176544
xsa,3,0.04354335367679596
xsa,3,0.033261988312006
xsa,3,0.0392436608672142
xsa,3,0.04319975897669792
xsa,3,0.020114783197641373
xsa,3,0.049493592232465744
xsa,3,0.053230006247758865
xsa,3,0.04322173446416855
xsa,3,0.05221996456384659
xsa,3,0.05720223858952522
xsa,3,0.044666364789009094
xsa,3,0.05315022170543671
xsa,3,0.06847648322582245
xsa,3,0.038973864167928696
xsa,3,0.054674454033374786
xsa,3,0.02354775182902813
xsa,3,0.0682864785194397
xsa,3,0.06440138071775436
xsa,3,0.04598631709814072
xsa,3,0.05197777599096298
xsa,3,0.05907876417040825
xsa,3,0.04766038432717323
xsa,3,0.040247637778520584
xsa,3,0.048028796911239624
xsa,3,0.005677519831806421
xsa,3,0.030359620228409767
xsa,3,0.001437641098164022
xsa,3,0.04132715240120888
xsa,3,0.04024910554289818
xsa,4,0.0019115426111966372
xsa,4,0.0068435571156442165
xsa,4,0.06541065871715546
xsa,4,0.0394652783870697
xsa,4,0.050577763468027115
xsa,4,0.026098033413290977
xsa,4,0.033821336925029755
xsa,4,0.016765212640166283
xsa,4,0.0418652668595314
xsa,4,0.04502896964550018
xsa,4,0.051233746111392975
xsa,4,0.033379122614860535
xsa,4,0.04464311897754669
xsa,4,0.04722621664404869
xsa,4,0.04023787006735802
xsa,4,0.05190537869930267
xsa,4,0.03809112310409546
xsa,4,0.04578780755400658
xsa,4,0.07345149666070938
xsa,4,0.052682776004076004
xsa,4,0.04524977132678032
xsa,4,0.022971775382757187
xsa,4,0.060608942061662674
xsa,4,0.058019883930683136
xsa,4,0.027023078873753548
xsa,4,0.042288053780794144
xsa,4,0.04447655752301216
xsa,4,0.020530588924884796
xsa,4,0.05284885689616203
xsa,4,0.04982967674732208
xsa,4,0.042061008512973785
xsa,4,0.037843454629182816
xsa,4,0.017184719443321228
xsa,4,0.02424357831478119
xsa,4,0.0553927980363369
xsa,4,0.062371231615543365
xsa,4,0.04584423452615738
xsa,4,0.031372781842947006
xsa,4,0.011728954501450062
xsa,4,-0.0013796872226521373
xsa,4,-0.003280275035649538
xsa,4,0.04471496120095253
xsa,4,0.03933912515640259
xsa,4,0.03557613492012024
xsa,4,0.00429417472332716
xsa,4,0.05196899175643921
xsa,4,0.018055681139230728
xsa,4,0.03516269847750664
xsa,4,0.04372124746441841
xsa,4,0.0476020872592926
xsa,4,0.018943611532449722
xsa,4,0.06392747908830643
xsa,4,0.04786062613129616
xsa,4,0.04251924529671669
xsa,4,0.061220984905958176
xsa,4,0.06902160495519638
