model,statistic,rho_raw,pearson_raw,r_delta,r_stat,ceiling,rho_disattenuated,n,verdict,resolvable
gpt2,cos_self,0.41592717627200393,0.4050843214751408,0.6286070251587493,0.9925006028454304,0.789868882424755,0.52657749346345,144,reliable,True
gpt2,excess,0.1797484125070332,0.4121228354517006,0.6286070251587493,0.9925006028454304,0.789868882424755,0.22756740581454227,144,reliable,True
EleutherAI/pythia-160m,cos_self,0.08182220078771801,0.09875804157340692,0.19372638855397478,0.9894863756932724,0.4378237340373625,0.18688388597210118,144,unresolvable,False
EleutherAI/pythia-160m,excess,0.12877180290973395,0.1449688422554865,0.19372638855397478,0.9894863756932724,0.4378237340373625,0.29411791298355006,144,unresolvable,False
EleutherAI/pythia-410m,cos_self,0.1006296465780688,0.1340570596710285,-0.007266730065249264,0.9746554033433928,0.0,nan,384,unresolvable,False
EleutherAI/pythia-410m,excess,0.19932967893434037,0.17266250107991657,-0.007266730065249264,0.9746554033433928,0.0,nan,384,unresolvable,False
