model,statistic,rho_raw,pearson_raw,r_delta,r_stat,ceiling,rho_disattenuated,n,verdict,resolvable
gpt2,cos_self,0.4502170243549554,0.4084367190299234,0.7519760790696657,0.9925729442970823,0.8639392981240949,0.5211211312328646,144,reliable,True
gpt2,excess,0.18989631058596576,0.413404343120021,0.7519760790696657,0.9925729442970823,0.8639392981240949,0.21980283915582383,144,reliable,True
EleutherAI/pythia-160m,cos_self,0.0009725906277630415,-0.018620223771252196,0.3041475765613697,0.9889197009886664,0.5484318831628019,0.0017734027827742615,144,attenuated,False
EleutherAI/pythia-160m,excess,0.3964432119604533,0.36278271071942114,0.3041475765613697,0.9889197009886664,0.5484318831628019,0.7228668210793449,144,attenuated,False
EleutherAI/pythia-410m,cos_self,0.03875737513139602,0.0873735327444663,0.44550542048459246,0.9741823776745449,0.6587894426860362,0.05883120253623568,384,attenuated,False
EleutherAI/pythia-410m,excess,0.39252738123495307,0.3155874882794049,0.44550542048459246,0.9741823776745449,0.6587894426860362,0.5958313169599813,384,attenuated,False
